tconst,averagerating,numvotes
tt0013274,6.8,59
tt0015414,5.2,16
tt0015724,6.1,27
tt0035423,6.4,87965
tt0036606,6.5,345
tt0038086,7.0,27
tt0038687,7.4,1980
tt0057461,4.5,23
tt0059325,6.5,257
tt0059900,6.4,38
tt0062181,6.5,401
tt0062336,6.4,183
tt0064820,6.9,411
tt0065108,6.8,24
tt0065188,6.4,38
tt0065530,6.6,62
tt0066020,6.7,304
tt0066151,3.9,103
tt0067100,5.5,806
tt0067460,6.8,26
tt0067625,7.9,2513
tt0067694,6.7,94
tt0067754,7.1,243
tt0068494,4.9,20
tt0068745,6.0,41
tt0068958,3.6,32
tt0069049,6.7,7874
tt0070501,6.9,232
tt0070596,7.6,41
tt0071261,6.9,87
tt0071560,3.8,407
tt0072173,2.7,849
tt0073122,6.9,53
tt0073537,4.9,822
tt0073604,3.1,595
tt0074208,7.8,21
tt0074994,6.2,19
tt0075006,5.4,118
tt0075035,3.5,860
tt0075187,4.7,12
tt0075211,5.0,258
tt0075332,3.9,79
tt0075631,5.8,5
tt0075745,4.8,82
tt0075777,6.4,7
tt0075788,7.1,1211
tt0075816,4.5,220
tt0075859,4.2,440
tt0076041,4.8,90
tt0076043,7.0,69
tt0076276,8.7,16275
tt0076321,6.3,57
tt0076322,6.6,18
tt0076396,5.3,94
tt0076426,6.8,104
tt0076580,5.5,137
tt0076709,5.1,3520
tt0076733,6.9,289
tt0076900,7.0,34
tt0076917,5.4,34
tt0077133,4.6,8
tt0077173,6.3,39
tt0077329,5.8,54
tt0077366,6.9,18
tt0077367,4.9,14
tt0077389,5.8,49
tt0077404,5.1,54
tt0077428,4.1,142
tt0077432,5.2,15
tt0077472,5.5,82
tt0077475,6.5,16
tt0077484,6.8,52
tt0077567,5.3,117
tt0077634,4.6,60
tt0077645,5.2,420
tt0077648,6.3,28
tt0077722,7.4,106
tt0077731,3.5,233
tt0077772,3.9,72
tt0077883,7.4,244
tt0077885,3.4,12
tt0077960,5.7,28
tt0078053,4.5,325
tt0078304,7.0,12
tt0078349,7.6,946
tt0078356,4.8,561
tt0078376,5.6,10
tt0078393,7.1,427
tt0078411,7.1,102
tt0078428,6.3,752
tt0078519,5.1,30
tt0078546,5.6,23
tt0078726,5.5,43
tt0078732,4.5,384
tt0078733,5.1,20
tt0078749,3.6,1633
tt0078751,5.8,1130
tt0078769,6.6,72
tt0078780,6.8,2258
tt0078785,6.2,39
tt0078791,6.0,113
tt0078799,7.4,470
tt0078805,5.5,14
tt0078806,5.6,833
tt0078813,6.6,5035
tt0078829,5.8,22
tt0078833,6.7,90
tt0078834,4.8,98
tt0078842,7.4,34
tt0078853,6.2,235
tt0078858,6.3,17
tt0078868,7.5,988
tt0078871,6.2,555
tt0078873,4.8,431
tt0078876,8.1,599
tt0078880,4.7,358
tt0078892,7.3,28
tt0078894,8.0,753
tt0078895,4.7,360
tt0078906,6.8,62
tt0078918,5.3,436
tt0078920,6.1,18
tt0078923,5.5,705
tt0078926,6.8,558
tt0078929,4.9,43
tt0078932,3.9,13
tt0078935,5.8,59718
tt0078936,3.4,1067
tt0078941,5.8,59
tt0078948,5.2,57
tt0078962,6.2,293
tt0078967,6.5,54
tt0078973,5.9,80
tt0078983,6.5,25
tt0078994,4.3,33
tt0079007,7.1,725
tt0079014,4.1,122
tt0079015,3.6,5
tt0079017,5.5,33
tt0079084,5.1,11
tt0079085,5.6,27
tt0079090,6.9,670
tt0079093,5.0,69
tt0079104,4.4,752
tt0079106,5.8,65
tt0079109,6.1,10
tt0079112,4.1,48
tt0079115,4.7,622
tt0079120,5.3,272
tt0079145,6.9,431
tt0079151,5.9,48
tt0079164,5.3,116
tt0079170,6.8,11
tt0079172,6.4,18
tt0079181,6.7,26
tt0079186,7.4,117
tt0079192,5.0,56
tt0079193,8.0,4165
tt0079197,4.5,549
tt0079198,7.5,129
tt0079208,7.4,22
tt0079213,6.5,53
tt0079232,6.2,20
tt0079233,4.6,34
tt0079246,6.3,75
tt0079252,5.9,2426
tt0079256,5.6,907
tt0079260,5.1,222
tt0079274,6.0,69
tt0079285,5.1,10222
tt0079293,6.8,567
tt0079295,5.5,8
tt0079298,5.4,10
tt0079309,3.5,310
tt0079323,5.3,15
tt0079341,7.0,53
tt0079342,5.2,266
tt0079346,6.6,51
tt0079358,6.7,84
tt0079396,4.2,31
tt0079398,7.2,38
tt0079405,6.8,59
tt0079410,5.0,12
tt0079412,6.9,33
tt0079419,3.2,23
tt0079421,7.9,43
tt0079446,7.0,8
tt0079456,2.8,20
tt0079492,5.2,228
tt0079497,5.6,386
tt0079507,6.3,40
tt0079509,4.5,1947
tt0079537,7.7,150
tt0079553,6.1,114
tt0079556,4.4,14
tt0079564,6.9,10
tt0079572,6.3,67
tt0079573,2.6,836
tt0079579,8.0,13908
tt0079586,5.4,242
tt0079610,5.7,10
tt0079616,5.9,22
tt0079617,6.2,210
tt0079619,7.6,2444
tt0079624,4.8,365
tt0079625,7.0,609
tt0079630,5.7,473
tt0079642,4.2,1460
tt0079650,7.1,88
tt0079678,6.0,8
tt0079680,6.7,36
tt0079686,6.7,83
tt0079694,7.0,397
tt0079695,6.8,17
tt0079706,5.7,27
tt0079712,7.4,81
tt0079718,6.1,3500
tt0079719,6.4,253
tt0079720,4.7,35
tt0079729,6.0,10
tt0079730,7.5,33
tt0079735,5.8,130
tt0079741,6.6,30
tt0079744,7.1,313
tt0079746,6.4,20
tt0079749,6.2,619
tt0079760,4.9,13
tt0079762,5.7,15
tt0079765,5.9,325
tt0079788,5.2,5762
tt0079796,6.0,89
tt0079799,7.1,75
tt0079811,6.1,65
tt0079814,8.0,529
tt0079820,7.7,5405
tt0079830,4.9,30
tt0079835,7.0,238
tt0079839,7.2,2800
tt0079845,7.0,460
tt0079851,6.0,23
tt0079854,6.6,3852
tt0079874,7.2,53
tt0079888,5.2,19
tt0079889,8.9,2428
tt0079891,6.8,4677
tt0079896,6.3,216
tt0079897,6.0,120
tt0079899,5.4,195
tt0079915,2.6,420
tt0079924,6.9,798
tt0079926,6.8,47
tt0079934,5.2,15
tt0079938,8.0,922
tt0079959,6.2,85
tt0079976,7.0,22
tt0079985,7.2,1457
tt0080001,5.5,198
tt0080002,6.3,581
tt0080011,6.2,39
tt0080014,3.3,149
tt0080021,7.5,15
tt0080031,6.8,5777
tt0080041,6.3,95
tt0080052,6.6,13
tt0080053,6.2,8
tt0080054,7.0,435
tt0080064,8.5,15
tt0080071,6.9,12
tt0080072,6.8,45
tt0080073,7.1,460
tt0080075,5.3,601
tt0080082,7.1,69
tt0080083,7.6,323
tt0080089,5.7,21
tt0080091,6.9,39
tt0080107,4.8,13
tt0080111,6.4,16
tt0080121,5.0,50
tt0080144,6.8,90
tt0080153,6.5,96
tt0080155,6.3,18
tt0080164,4.5,137
tt0080187,6.6,193
tt0080310,7.8,14178
tt0080311,6.5,61
tt0080312,6.3,51
tt0080314,5.5,94
tt0080316,6.6,328
tt0080317,7.1,10
tt0080319,6.9,37929
tt0080320,4.8,15
tt0080321,8.3,1248
tt0080322,7.9,1127
tt0080323,8.4,40
tt0080327,2.8,12
tt0080328,5.7,384
tt0080333,5.6,36
tt0080335,7.0,91
tt0080337,6.1,47
tt0080339,7.7,254455
tt0080341,7.4,351
tt0080343,7.1,491
tt0080345,6.1,39
tt0080346,2.8,1227
tt0080354,6.1,15308
tt0080355,7.4,349
tt0080360,6.9,37565
tt0080361,7.1,18
tt0080362,4.7,1047
tt0080363,4.5,113
tt0080365,6.3,28643
tt0080366,5.2,28
tt0080367,6.3,12
tt0080373,7.3,550
tt0080376,6.1,369
tt0080377,6.1,20546
tt0080379,5.5,4196
tt0080380,4.3,2612
tt0080384,6.9,79
tt0080386,6.2,76
tt0080387,7.1,61
tt0080388,7.3,17950
tt0080390,4.1,23
tt0080393,6.4,1667
tt0080399,4.3,145
tt0080401,6.4,201
tt0080402,4.8,2763
tt0080403,6.7,40
tt0080404,7.4,125
tt0080406,7.4,1851
tt0080408,6.9,9458
tt0080409,7.2,124
tt0080410,6.6,30
tt0080411,6.4,56
tt0080412,5.9,561
tt0080413,6.1,16
tt0080414,5.6,27
tt0080415,6.2,809
tt0080418,5.1,70
tt0080419,6.5,919
tt0080420,5.9,171
