Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
Sam Worthington,13,2189693325.0,1372000000,nan,85.2,168437948.07692307,6.553846153846154,9.922605115384615
Zoe Saldana,12,2410107578.0,1291500000,674.0,76.3,200842298.16666666,6.358333333333333,10.375179296666666
Sigourney Weaver,22,2545913021.0,1366532975,1249.0,147.1,115723319.13636364,6.6863636363636365,9.000830019090909
Robert Downey Jr.,30,6397308356.0,3319000000,nan,209.80000000000004,213243611.86666667,6.993333333333335,11.258205570666668
Chris Evans,23,nan,2512500000,1296.0,158.4,nan,6.886956521739131,nan
Mark Ruffalo,21,2613119452.0,1750500000,nan,147.40000000000003,124434259.61904761,7.019047619047621,9.507732811428573
Johnny Depp,39,nan,3256200000,2137.0,261.99999999999994,nan,6.717948717948716,nan
Penélope Cruz,18,nan,1289900000,nan,108.2,nan,6.011111111111111,nan
Ian McShane,8,671290744.0,715300000,429.0,54.1,83911343.0,6.7625,8.44072686
Vin Diesel,21,2299527959.0,2033000000,1037.0,133.1,109501331.38095239,6.338095238095238,8.528121865714287
Michelle Rodriguez,13,1106798485.0,1160500000,667.0,77.29999999999998,85138345.0,5.946153846153845,7.648920746153845
Jason Statham,28,nan,2064500000,nan,174.39999999999998,nan,6.228571428571428,nan
Chris Hemsworth,17,nan,1848700000,nan,112.0,nan,6.588235294117647,nan
Orlando Bloom,6,1256478752.0,932000000,359.0,44.099999999999994,209413125.33333334,7.349999999999999,11.538262506666666
Keira Knightley,17,1177583071.0,1094000000,1020.0,117.00000000000001,69269592.41176471,6.882352941176471,8.267744789411765
Ben Affleck,31,nan,2027750000,nan,nan,nan,nan,nan
Gal Gadot,6,nan,1006500000,325.0,38.49999999999999,nan,6.416666666666665,nan
Jason Momoa,4,nan,720000000,nan,nan,nan,nan,nan
Harrison Ford,27,2762995825.0,2068000000,1601.0,183.20000000000002,102333178.7037037,6.785185185185186,8.831848759259259
Phoebe Waller-Bridge,1,174480468.0,300000000,58.0,6.7,174480468.0,6.7,10.18960936
Antonio Banderas,23,1733992833.0,1799000000,nan,146.69999999999996,75390992.73913044,6.378260869565215,7.886080724347824
