Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
James Cameron,10,2849345250.0,1515400000,684.0,76.89999999999999,284934525.0,7.6899999999999995,13.3886905
Rick Jaffa,7,1921566675.0,1210000000,427.0,50.2,274509525.0,7.171428571428572,12.661619071428571
Amanda Silver,6,1774686513.0,1058000000,345.0,42.800000000000004,295781085.5,7.133333333333334,13.048955043333333
Christopher Markus,10,nan,1865000000,631.0,71.9,nan,7.19,nan
Stephen McFeely,10,nan,1865000000,631.0,71.9,nan,7.19,nan
Stan Lee,19,8015936523.0,3853200000,1228.0,134.70000000000002,421891395.94736844,7.089473684210527,15.527301603157895
Ted Elliott,12,2184638314.0,1899000000,nan,83.7,182053192.83333334,6.9750000000000005,10.616063856666667
Terry Rossio,9,1749707400.0,1724000000,481.0,61.89999999999999,194411933.33333334,6.877777777777776,10.766016444444443
Stuart Beattie,9,1369237608.0,1386000000,427.0,59.2,152137512.0,6.577777777777778,9.62052801777778
Joss Whedon,8,1863244113.0,811000000,535.0,57.8,232905514.125,7.225,11.883110282499999
Jack Kirby,4,nan,759500000,nan,23.3,nan,5.825,nan
Dan Mazeau,2,229630743.0,490000000,93.0,11.5,114815371.5,5.75,8.04630743
Justin Lin,4,322821863.0,540750000,227.0,23.8,80705465.75,5.95,7.5641093150000005
Zach Dean,3,nan,546000000,153.0,18.599999999999998,nan,6.199999999999999,nan
Jerry Siegel,8,1093827828.0,914500000,433.0,48.60000000000001,136728478.5,6.075000000000001,8.80956957
Joe Shuster,4,412841644.0,410000000,196.0,21.599999999999998,103210411.0,5.3999999999999995,7.46420822
Chris Terrio,2,365049798.0,344500000,131.0,13.8,182524899.0,6.9,10.55049798
Jez Butterworth,7,388582263.0,691000000,425.0,46.599999999999994,55511751.85714286,6.657142857142857,7.767377894285714
John-Henry Butterworth,4,314930515.0,558000000,269.0,28.300000000000004,78732628.75,7.075000000000001,8.649652575000001
David Koepp,19,2366344336.0,1574000000,nan,125.0,124544438.73684211,6.578947368421052,9.069836143157895
Bruce Geller,5,1006132670.0,843000000,388.0,37.699999999999996,201226534.0,7.539999999999999,11.564530679999999
Christopher McQuarrie,10,1012907678.0,1256000000,633.0,72.30000000000001,101290767.8,7.230000000000001,9.255815356000001
Erik Jendresen,2,nan,291800000,nan,13.1,nan,6.55,nan
Nikolai Kurbatov,1,nan,275000000,nan,nan,nan,nan,nan
Jonathan Kasdan,3,224843306.0,287500000,164.0,20.1,74947768.66666667,6.7,8.198955373333334
Lawrence Kasdan,8,680283212.0,517700000,435.0,53.0,85035401.5,6.625,8.32570803
George Lucas,5,1156070679.0,556000000,334.0,37.2,231214135.8,7.44,12.064282716000001
Nia DaCosta,1,57624806.0,274800000,nan,6.0,57624806.0,6.0,7.15249612
Megan McDonnell,1,57624806.0,274800000,nan,6.0,57624806.0,6.0,7.15249612
Elissa Karasik,1,57624806.0,274800000,nan,6.0,57624806.0,6.0,7.15249612
Andrew Stanton,8,2399092218.0,1212700000,662.0,61.900000000000006,299886527.25,7.737500000000001,13.735230545
Mark Andrews,2,310361307.0,448700000,120.0,13.7,155180653.5,6.85,9.95361307
Michael Chabon,2,92471657.0,298700000,125.0,13.8,46235828.5,6.9,7.8247165700000005
Bob Kane,9,1988006082.0,1108000000,488.0,58.1,220889564.66666666,6.455555555555556,10.87334684888889
