Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Sam Worthington,13,2189693325.0,1372000000.0,nan,85.2
Zoe Saldana,12,2410107578.0,1291500000.0,674.0,76.3
Sigourney Weaver,23,2627813480.0,1377232975.0,1338.0,155.6
Robert Downey Jr.,30,6397308356.0,3319000000.0,nan,209.80000000000004
Chris Evans,23,nan,2512500000.0,1296.0,158.4
Mark Ruffalo,20,2570119190.0,1680500000.0,nan,141.90000000000003
Johnny Depp,39,nan,3256200000.0,2137.0,261.99999999999994
Penélope Cruz,18,nan,1289900000.0,nan,108.2
Ian McShane,8,671290744.0,715300000.0,429.0,54.1
Vin Diesel,21,2299527959.0,2033000000.0,1037.0,133.1
Michelle Rodriguez,13,1106798485.0,1160500000.0,667.0,77.29999999999998
Jason Statham,28,nan,2064500000.0,nan,174.39999999999998
Chris Hemsworth,17,nan,1848700000.0,nan,112.0
Orlando Bloom,6,1256478752.0,932000000.0,359.0,44.099999999999994
Keira Knightley,17,1177583071.0,1094000000.0,1020.0,117.00000000000001
Ben Affleck,31,nan,1949500000.0,nan,nan
Gal Gadot,6,nan,1006500000.0,325.0,38.49999999999999
Jason Momoa,4,nan,720000000.0,nan,nan
Harrison Ford,28,2770225825.0,2073000000.0,1643.0,189.60000000000002
Phoebe Waller-Bridge,1,174480468.0,300000000.0,58.0,6.7
Antonio Banderas,22,1628728225.0,1749000000.0,nan,139.2
Tom Cruise,33,4299752761.0,2825000000.0,2072.0,233.2
Hayley Atwell,4,271717986.0,374500000.0,255.0,26.9
Ving Rhames,12,nan,896500000.0,nan,80.89999999999999
Nikolai Kurbatov,1,nan,275000000.0,nan,nan
Alden Ehrenreich,2,244265597.0,297000000.0,134.0,13.2
Woody Harrelson,25,nan,1306550000.0,nan,161.99999999999997
Emilia Clarke,3,359773543.0,450000000.0,151.0,20.6
Brie Larson,9,nan,735800000.0,nan,nan
Samuel L. Jackson,49,nan,2933556044.0,nan,nan
Zawe Ashton,2,nan,295800000.0,nan,nan
Taylor Kitsch,3,245555769.0,348700000.0,170.0,20.5
Lynn Collins,2,76843685.0,293700000.0,114.0,13.6
Willem Dafoe,23,nan,1182200000.0,nan,152.20000000000002
Henry Cavill,7,979584231.0,851000000.0,354.0,46.5
Amy Adams,20,nan,1248000000.0,1273.0,140.40000000000003
Matthew Broderick,16,1463396669.0,963000000.0,nan,104.3
Jeremy Irons,8,nan,734300000.0,nan,55.9
James Earl Jones,6,957862197.0,509300000.0,nan,43.99999999999999
Mandy Moore,10,428103033.0,445300000.0,446.0,61.0
Zachary Levi,4,618554603.0,540000000.0,230.0,25.2
Donna Murphy,1,200821936.0,260000000.0,71.0,7.7
Tobey Maguire,11,1419908295.0,902500000.0,683.0,75.2
Kirsten Dunst,23,nan,1131400000.0,nan,149.5
Topher Grace,7,499058158.0,381900000.0,359.0,44.1
Letitia Wright,1,453829060.0,250000000.0,67.0,6.7
Lupita Nyong'o,4,1338214595.0,485000000.0,309.0,28.200000000000003
Danai Gurira,3,508178451.0,299000000.0,184.0,20.200000000000003
Scarlett Johansson,28,nan,1708300000.0,1815.0,196.1
Chris Pratt,16,nan,2133500000.0,951.0,111.30000000000001
Chukwudi Iwuji,1,358995815.0,250000000.0,64.0,7.9
Bradley Cooper,19,2495736925.0,1105000000.0,1128.0,131.5
Natalie Portman,21,1266768478.0,991500000.0,1182.0,142.60000000000002
Christian Bale,26,2676278659.0,1928512938.0,1626.0,184.80000000000004
Daniel Radcliffe,12,1995321157.0,1057600000.0,781.0,83.9
Emma Watson,11,1703309721.0,948000000.0,752.0,78.60000000000001
Rupert Grint,8,1717169830.0,917700000.0,537.0,59.00000000000001
Jodi Benson,1,111543479.0,250000000.0,88.0,7.6
Samuel E. Wright,2,249291542.0,377500000.0,144.0,14.0
Rene Auberjonois,1,111543479.0,250000000.0,88.0,7.6
Ian McKellen,12,2337230983.0,1427700000.0,884.0,92.69999999999999
Martin Freeman,9,nan,835200000.0,579.0,62.99999999999999
Richard Armitage,4,864172205.0,750000000.0,227.0,28.8
Dwayne Johnson,33,nan,3013850000.0,1629.0,206.30000000000004
Daniel Craig,19,1734236525.0,1854000000.0,1231.0,135.1
Ana de Armas,6,nan,707000000.0,nan,40.0
Rami Malek,4,nan,336250000.0,223.0,26.0
Christoph Waltz,8,647686844.0,766000000.0,472.0,55.199999999999996
Léa Seydoux,1,200074609.0,245000000.0,60.0,6.8
Brandon Routh,2,201267730.0,252000000.0,103.0,11.2
Kevin Spacey,19,1016974834.0,754900000.0,1105.0,135.7
Kate Bosworth,10,nan,401500000.0,474.0,57.599999999999994
Tom Hardy,16,1573792027.0,1017830000.0,982.0,113.49999999999999
