Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
James Cameron,8,2673746084.0,1190400000.0,593.0,63.3
Anthony Russo,8,nan,1426000000.0,491.0,57.4
Joe Russo,8,nan,1426000000.0,491.0,57.4
Rob Marshall,6,788887603.0,760200000.0,364.0,39.50000000000001
Joss Whedon,5,1756750722.0,714000000.0,352.0,38.9
Louis Leterrier,7,757092622.0,748500000.0,340.0,44.199999999999996
Gore Verbinski,7,1153971900.0,993000000.0,376.0,47.9
Zack Snyder,10,nan,1280500000.0,513.0,68.19999999999999
James Mangold,9,908798110.0,803000000.0,569.0,64.89999999999999
Christopher McQuarrie,5,673463261.0,687000000.0,341.0,36.6
Nikolai Kurbatov,1,nan,275000000.0,nan,nan
Ron Howard,18,nan,1482000000.0,1029.0,123.2
Nia DaCosta,1,nan,274800000.0,nan,nan
Andrew Stanton,5,1326823651.0,782700000.0,390.0,37.6
Roger Allers,4,931398302.0,436300000.0,286.0,30.1
Rob Minkoff,8,1307800075.0,899300000.0,498.0,52.7
Nathan Greno,1,200821936.0,260000000.0,71.0,7.7
Byron Howard,4,752237385.0,710000000.0,291.0,29.7
Sam Raimi,12,1895450515.0,1140875000.0,778.0,84.10000000000001
Ryan Coogler,4,1280135848.0,487900000.0,322.0,29.1
James Gunn,6,1146475107.0,822750000.0,398.0,43.900000000000006
Taika Waititi,4,696891493.0,446500000.0,270.0,29.8
David Yates,6,1210804482.0,1160000000.0,358.0,41.2
Ron Clements,8,1135802845.0,985000000.0,622.0,60.099999999999994
John Musker,8,1135802845.0,985000000.0,622.0,60.099999999999994
Peter Jackson,12,2556697534.0,1314672000.0,881.0,92.6
F. Gary Gray,10,837953766.0,674500000.0,519.0,67.39999999999999
Cary Joji Fukunaga,2,160981784.0,256000000.0,147.0,15.0
Sam Mendes,8,993235539.0,778000000.0,560.0,60.099999999999994
Bryan Singer,8,1135019979.0,1031000000.0,496.0,58.0
Christopher Nolan,12,2389172169.0,1436006000.0,918.0,98.30000000000001
Joachim Rønning,3,nan,450000000.0,nan,18.8
Espen Sandberg,2,nan,265000000.0,nan,12.2
Marc Forster,10,674616055.0,654500000.0,602.0,71.0
Andrew Adamson,4,863523610.0,370000000.0,272.0,28.400000000000002
Marc Webb,3,489685808.0,427000000.0,179.0,21.1
Peter Berg,9,653054678.0,808500000.0,471.0,60.099999999999994
Michael Bay,14,nan,1820500000.0,606.0,89.8
Colin Trevorrow,4,1038773636.0,390750000.0,200.0,26.0
Barry Sonnenfeld,9,918508930.0,686250000.0,482.0,58.199999999999996
Brett Ratner,9,1058083205.0,820000000.0,nan,59.1
Ridley Scott,22,1716819615.0,1783200000.0,1398.0,154.5
Chris Weitz,7,595428116.0,354000000.0,382.0,44.2
James Wan,10,nan,662700000.0,nan,nan
Jon Watts,4,1538982847.0,540000000.0,279.0,29.3
Brad Bird,7,1612015653.0,887000000.0,557.0,53.0
Gareth Edwards,5,974729671.0,565500000.0,nan,34.1
Angus MacLane,2,604602749.0,400000000.0,137.0,13.3
Josh Cooley,1,434038008.0,200000000.0,84.0,7.7
Lee Unkrich,5,1542802591.0,674000000.0,430.0,40.9
Shane Black,5,909558215.0,360200000.0,314.0,34.4
Matt Reeves,6,822611090.0,575000000.0,nan,41.9
Tim Burton,19,2302967434.0,1192800000.0,1182.0,131.6
Dan Scanlon,2,330047909.0,400000000.0,126.0,14.600000000000001
Peyton Reed,6,896129063.0,572000000.0,325.0,39.1
John Lasseter,5,1067411801.0,435000000.0,391.0,36.8
Bradford Lewis,1,191452396.0,200000000.0,57.0,6.2
Cate Shortland,2,183680315.0,205500000.0,138.0,13.0
David Leitch,5,696642977.0,455900000.0,306.0,35.5
Justin Lin,7,763125898.0,680750000.0,396.0,44.8
Joseph Kosinski,4,998246802.0,528000000.0,253.0,29.700000000000003
Jaume Collet-Serra,11,728336417.0,652358000.0,557.0,70.5
Roland Emmerich,12,1195510537.0,1264500000.0,546.0,74.0
Chloé Zhao,2,168570234.0,205000000.0,143.0,13.6
Peter Sohn,2,277513817.0,387500000.0,124.0,13.7
McG,7,605767824.0,616000000.0,325.0,42.1
Martin Campbell,10,849863936.0,749000000.0,564.0,67.3
Simon Kinberg,2,80416429.0,275000000.0,83.0,11.3
Martin Scorsese,24,nan,1339935000.0,nan,182.29999999999995
Patty Jenkins,3,494115418.0,355000000.0,210.0,20.1
Tony Bancroft,2,241240508.0,290000000.0,142.0,15.2
Barry Cook,3,287702977.0,375000000.0,211.0,22.299999999999997
Chris McKay,3,nan,366203077.0,173.0,20.3
Joel Crawford,3,429639505.0,355000000.0,202.0,22.5
Januel Mercado,2,371070690.0,290000000.0,146.0,15.6
Steven Caple Jr.,2,272782281.0,245000000.0,108.0,13.2
Stephen Sommers,7,818475963.0,769500000.0,nan,44.7
J.J. Abrams,4,747542660.0,530000000.0,292.0,29.5
Baz Luhrmann,5,536661387.0,426500000.0,287.0,35.0
Guillermo del Toro,8,nan,552000000.0,589.0,55.9
Lana Wachowski,8,752898163.0,960500000.0,438.0,54.39999999999999
Jon Favreau,7,1572095092.0,660000000.0,483.0,49.199999999999996
Steven Spielberg,27,4368166883.0,1789500000.0,1959.0,201.20000000000002
Mark Andrews,1,237283207.0,185000000.0,69.0,7.1
Brenda Chapman,2,338696395.0,245000000.0,133.0,14.3
Steve Purcell,1,237283207.0,185000000.0,69.0,7.1
Jordan Vogt-Roberts,1,168052812.0,185000000.0,62.0,6.7
Denis Villeneuve,8,nan,530800000.0,605.0,63.2
Tim Miller,2,425323786.0,243000000.0,119.0,14.2
Robert Stromberg,1,241410378.0,180000000.0,56.0,6.9
Luc Besson,10,323265852.0,454357373.0,513.0,68.6
Lilly Wachowski,7,715211358.0,770500000.0,375.0,48.69999999999999
Jon Turteltaub,7,653194688.0,567000000.0,324.0,45.1
Doug Liman,9,nan,633700000.0,nan,61.1
Anna Boden,2,433193467.0,183000000.0,127.0,13.899999999999999
Ryan Fleck,3,435891405.0,183700000.0,212.0,21.0
Pete Docter,3,940568131.0,465000000.0,261.0,24.5
Ronnie Del Carmen,1,356921711.0,175000000.0,94.0,8.1
David Ayer,8,nan,447000000.0,375.0,51.49999999999999
Bob Peterson,1,293004164.0,175000000.0,88.0,8.3
Adrian Molina,1,210460015.0,175000000.0,81.0,8.4
Phil Johnston,1,201091711.0,175000000.0,71.0,7.0
Rich Moore,3,731782848.0,490000000.0,221.0,22.7
Rob Letterman,5,626247642.0,570000000.0,250.0,30.1
Conrad Vernon,4,953654941.0,409000000.0,257.0,26.6
Brian Fee,1,152901115.0,175000000.0,59.0,6.7
Rob Cohen,10,608328410.0,652000000.0,387.0,55.80000000000001
Tom Shadyac,8,895460710.0,488000000.0,360.0,51.8
Kevin Reynolds,5,345159293.0,305000000.0,nan,33.6
Stephen Gaghan,3,138599368.0,250000000.0,138.0,17.3
Guy Ritchie,12,608251076.0,636350000.0,616.0,84.69999999999999
Carl Rinsch,1,38362475.0,175000000.0,28.0,6.2
Domee Shi,1,nan,175000000.0,83.0,7.0
J.A. Bayona,3,440480465.0,253000000.0,200.0,21.0
Robert Zemeckis,14,1725589867.0,1011000000.0,889.0,101.80000000000001
Rupert Sanders,2,195895938.0,280000000.0,109.0,12.399999999999999
Jonathan Mostow,4,316230443.0,348000000.0,246.0,26.2
Samuel Armstrong,3,nan,173138000.0,283.0,22.2
Norman Ferguson,4,nan,230489247.0,393.0,29.7
Wilfred Jackson,8,nan,395977247.0,719.0,59.199999999999996
Michael Dougherty,2,153225613.0,185000000.0,97.0,12.2
Robert Rodriguez,15,nan,490514000.0,nan,97.49999999999999
James Bobin,4,277333674.0,319000000.0,233.0,25.800000000000004
Mike Mitchell,7,924308485.0,596000000.0,356.0,41.6
Scott Derrickson,6,545112355.0,297200000.0,291.0,38.199999999999996
Don Hall,4,535946681.0,480000000.0,294.0,28.199999999999996
Chris Williams,2,336581407.0,315000000.0,141.0,14.6
Dean DeBlois,4,701323998.0,519000000.0,297.0,30.599999999999998
Chris Sanders,4,612886362.0,505000000.0,252.0,29.3
Gary Trousdale,4,622130563.0,370000000.0,316.0,29.9
Kirk Wise,4,622130563.0,370000000.0,316.0,29.9
Chris Miller,2,471980448.0,290000000.0,123.0,12.7
Raman Hui,1,322719944.0,160000000.0,58.0,6.1
Francis Lawrence,7,1481481244.0,747000000.0,425.0,48.3
Matthew Vaughn,7,501127438.0,562500000.0,418.0,50.9
David Fincher,10,977479002.0,630750000.0,733.0,79.19999999999999
Wolfgang Petersen,6,628775152.0,577000000.0,376.0,41.0
Duncan Jones,3,107087680.0,197000000.0,173.0,22.0
Justin Simien,2,71943208.0,159000000.0,nan,12.3
Adam Wingard,3,140187161.0,166000000.0,172.0,17.9
Alan Taylor,3,304360499.0,355000000.0,152.0,19.4
Steven S. DeKnight,1,59874525.0,155000000.0,44.0,5.6
Oliver Stone,14,650464056.0,570100000.0,889.0,98.00000000000001
Greta Gerwig,4,900472899.0,218000000.0,355.0,30.1
Chris Buck,4,1108286100.0,545000000.0,282.0,28.2
Jennifer Lee,2,878326587.0,300000000.0,139.0,14.2
Jared Bush,2,437361870.0,300000000.0,153.0,15.2
Mike Newell,6,461957907.0,332500000.0,373.0,41.4
Destin Daniel Cretton,2,260544794.0,175000000.0,139.0,15.0
Jan Pinkava,1,206445654.0,150000000.0,96.0,8.1
Kenneth Branagh,11,nan,589900000.0,nan,74.30000000000001
Eric Darnell,5,764606727.0,562000000.0,303.0,33.4
Tom McGrath,5,913416839.0,625000000.0,291.0,33.9
Gavin Hood,5,272973594.0,303500000.0,289.0,34.4
Shawn Levy,11,1130331333.0,784000000.0,483.0,67.6
Jennifer Yuh Nelson,3,321473373.0,324000000.0,172.0,20.0
George Miller,10,nan,548200000.0,nan,65.3
Mark Dindal,3,228589989.0,282000000.0,180.0,20.0
M. Night Shyamalan,13,1427988540.0,742628700.0,631.0,80.2
Simon J. Smith,2,210482188.0,282000000.0,107.0,12.7
Steve Hickner,2,228044465.0,210000000.0,118.0,13.3
Hoyt Yeatman,1,119436770.0,150000000.0,41.0,5.1
Charise Castro Smith,1,96093622.0,150000000.0,75.0,7.2
John Francis Daley,3,221429444.0,218000000.0,172.0,20.299999999999997
Jonathan Goldstein,3,221429444.0,218000000.0,172.0,20.299999999999997
Jonathan Liebesman,6,621701179.0,381500000.0,189.0,33.8
Malcolm D. Lee,10,522358851.0,348000000.0,525.0,57.50000000000001
Joe Johnston,7,nan,661400000.0,nan,43.79999999999999
Yimou Zhang,3,110300943.0,204000000.0,216.0,21.3
Joe Wright,8,nan,417000000.0,508.0,54.49999999999999
Simon Wells,3,179638440.0,290000000.0,155.0,18.6
Rawson Marshall Thurber,4,nan,355000000.0,195.0,25.099999999999998
David Bowers,5,206662660.0,276000000.0,271.0,30.0
Sam Fell,3,171545868.0,269000000.0,199.0,19.7
Kevin Lima,3,365856107.0,315000000.0,189.0,19.2
Peter Ramsey,1,103412758.0,145000000.0,58.0,7.2
Breck Eisner,3,135163174.0,244000000.0,131.0,18.4
Ivan Reitman,11,1060421801.0,505000000.0,626.0,70.89999999999999
Lee Tamahori,5,281466770.0,319100000.0,229.0,30.300000000000004
Alessandro Carloni,1,143528619.0,140000000.0,66.0,7.1
Richard Donner,14,950968897.0,668800000.0,nan,96.0
Jon M. Chu,8,568027775.0,380500000.0,434.0,44.600000000000016
Edward Zwick,8,449477463.0,514000000.0,477.0,57.300000000000004
Dean Parisot,5,249112239.0,309000000.0,274.0,31.200000000000003
Ang Lee,10,578339823.0,564400000.0,685.0,69.4
Alex Proyas,4,270290452.0,322000000.0,191.0,26.299999999999997
Jim Goldman,1,nan,140000000.0,nan,3.5
Hironobu Sakaguchi,1,32131830.0,137000000.0,49.0,6.4
Motonori Sakakibara,1,32131830.0,137000000.0,49.0,6.4
Bill Condon,7,714095499.0,389200000.0,430.0,44.3
Kirk DeMicco,3,233027993.0,242000000.0,141.0,17.4
Alejandro G. Iñárritu,6,287081509.0,230000000.0,443.0,46.300000000000004
Michael Apted,5,257517095.0,246000000.0,270.0,32.9
Peter Weir,7,402826251.0,255400000.0,522.0,53.0
David Soren,2,156949128.0,173000000.0,127.0,12.600000000000001
Dave Green,2,120986443.0,148000000.0,93.0,11.600000000000001
Gary Eck,1,64006466.0,135000000.0,50.0,5.8
David Peers,1,64006466.0,135000000.0,50.0,5.8
Michael Mann,7,432365646.0,584500000.0,483.0,48.2
Qui Nguyen,1,37968963.0,135000000.0,65.0,5.7
Lasse Hallström,10,433699985.0,358900000.0,517.0,68.39999999999999
Alfonso Cuarón,4,nan,331000000.0,358.0,31.2
Paul Greengrass,7,752453711.0,546000000.0,524.0,51.3
Mark Osborne,2,217110743.0,207500000.0,144.0,15.3
John Stevenson,2,259014462.0,189000000.0,110.0,12.8
Tim Johnson,6,804453185.0,342500000.0,352.0,39.4
Carlos Saldanha,7,1056060367.0,641000000.0,404.0,47.49999999999999
Phillip Noyce,9,520311179.0,441000000.0,571.0,60.5
Darren Aronofsky,7,269193613.0,218568000.0,497.0,51.099999999999994
Robert Schwentke,5,407300234.0,394000000.0,227.0,32.2
Ben Wheatley,4,84438504.0,139830000.0,nan,24.199999999999996
Eric Leighton,1,137748063.0,127500000.0,56.0,6.4
Ralph Zondag,1,137748063.0,127500000.0,56.0,6.4
Chris Columbus,11,1620826284.0,668000000.0,549.0,73.89999999999999
Jake Kasdan,7,925172100.0,332000000.0,nan,44.2
Walt Dohrn,1,154025064.0,125000000.0,55.0,6.4
Tony Gilroy,3,202810577.0,206500000.0,212.0,19.9
Joel Schumacher,15,886874366.0,634500000.0,nan,95.0
Paul Verhoeven,8,496391209.0,567100000.0,445.0,55.400000000000006
David F. Sandberg,4,367479091.0,230000000.0,238.0,25.8
Justin Kurzel,1,54647948.0,125000000.0,36.0,5.6
Chris Wedge,4,445476265.0,370000000.0,218.0,26.200000000000003
John McTiernan,10,608910163.0,584000000.0,484.0,66.5
Michael Crichton,1,32698899.0,125000000.0,42.0,6.6
Paul King,2,nan,180000000.0,nan,nan
Ruben Fleischer,7,807448027.0,420600000.0,332.0,46.6
Tim Story,10,808830870.0,333750000.0,nan,61.699999999999996
Mark Steven Johnson,2,134056011.0,140000000.0,74.0,12.1
Brad Peyton,5,408492340.0,399000000.0,189.0,27.5
Neill Blomkamp,3,240265620.0,199000000.0,183.0,21.299999999999997
Dean Israelite,2,107712691.0,132000000.0,91.0,12.2
Angel Manuel Soto,1,72488072.0,120000000.0,nan,6.1
David Twohy,4,154542266.0,195000000.0,199.0,26.5
Oley Sassone,1,nan,120000000.0,nan,3.8
Renae Barnard,1,nan,120000000.0,nan,nan
David Mackenzie,2,nan,132000000.0,147.0,14.5
Antoine Fuqua,12,nan,759000000.0,613.0,81.30000000000001
David Silverman,2,473777270.0,187500000.0,159.0,15.399999999999999
Roger Donaldson,7,300223608.0,310000000.0,346.0,46.400000000000006
Cedric Nicolas-Troyan,1,48390190.0,115000000.0,35.0,6.1
John Woo,6,nan,374000000.0,nan,39.9
J.C. Chandor,4,nan,146900000.0,303.0,27.5
Andy Serkis,1,213550366.0,110000000.0,49.0,5.9
Raja Gosnell,7,681124008.0,387500000.0,238.0,34.199999999999996
Len Wiseman,3,248818968.0,177000000.0,147.0,20.8
Steven Soderbergh,21,nan,648800000.0,1464.0,138.9
Roger Spottiswoode,7,nan,243500000.0,nan,44.99999999999999
Noam Murro,1,106580051.0,110000000.0,48.0,6.2
Morten Tyldum,2,191140382.0,125000000.0,112.0,15.0
Michel Gondry,5,nan,159000000.0,nan,35.4
Joe Carnahan,4,175055680.0,159500000.0,226.0,27.1
Tony Scott,12,947897738.0,707500000.0,652.0,81.80000000000001
Will Finn,2,58492808.0,180000000.0,75.0,10.4
John Sanford,1,50030461.0,110000000.0,50.0,5.4
Jan de Bont,5,568758173.0,398000000.0,254.0,28.1
Frank Coraci,8,nan,448500000.0,303.0,47.0
Damien Chazelle,4,224481803.0,193300000.0,327.0,30.9
Michael Thurmeier,3,421958556.0,290000000.0,133.0,19.1
Galen T. Chu,1,64063008.0,105000000.0,34.0,5.7
Peter Chelsom,5,147128019.0,193100000.0,nan,29.5
Dominic Sena,4,206524406.0,258300000.0,nan,23.9
Ava DuVernay,2,152555516.0,123000000.0,132.0,11.8
Travis Knight,2,175218677.0,157000000.0,150.0,14.4
Tom Tykwer,4,58994586.0,250700000.0,221.0,27.5
Aaron Horvath,2,604724566.0,110000000.0,115.0,13.8
Michael Jelenic,1,574934330.0,100000000.0,46.0,7.1
Pierre Leduc,1,574934330.0,100000000.0,46.0,7.1
Joaquim Dos Santos,1,381311319.0,100000000.0,86.0,8.7
Kemp Powers,1,381311319.0,100000000.0,86.0,8.7
Justin K. Thompson,1,381311319.0,100000000.0,86.0,8.7
Chad Stahelski,3,401185328.0,205000000.0,219.0,22.6
Quentin Tarantino,9,729541967.0,436200000.0,692.0,72.5
Paul Weitz,8,441446705.0,265000000.0,394.0,48.50000000000001
Phil Lord,4,713003401.0,252000000.0,289.0,28.8
Christopher Miller,4,713003401.0,252000000.0,289.0,28.8
Adam McKay,7,698639310.0,401000000.0,447.0,48.5
Chuck Russell,6,nan,241000000.0,nan,35.699999999999996
Simon West,7,nan,396500000.0,295.0,41.900000000000006
Spike Jonze,3,125665314.0,136000000.0,252.0,22.4
Stefen Fangmeier,1,75030163.0,100000000.0,38.0,5.1
Florian Henckel von Donnersmarck,1,67631157.0,100000000.0,37.0,6.0
Peter Hyams,6,nan,313000000.0,225.0,33.199999999999996
Nick Bruno,1,66757013.0,100000000.0,54.0,6.8
Troy Quane,1,66757013.0,100000000.0,54.0,6.8
Frank Oz,8,352683145.0,374000000.0,527.0,52.699999999999996
Ash Brannon,3,314140419.0,250000000.0,200.0,20.5
Peter Yates,1,47346365.0,100000000.0,41.0,6.2
Brad Silberling,4,235287534.0,231000000.0,194.0,24.699999999999996
Clyde Geronimi,3,268411628.0,164000000.0,230.0,21.9
Hamilton Luske,3,268411628.0,164000000.0,230.0,21.9
Dylan Brown,1,45216793.0,100000000.0,45.0,5.8
Pitof,1,40202379.0,100000000.0,27.0,3.4
Patrick Hughes,3,nan,205000000.0,116.0,18.799999999999997
Jerome Robbins,2,88110984.0,106000000.0,172.0,15.2
Robert Wise,5,nan,155700000.0,345.0,36.9
Dean Devlin,1,33700160.0,100000000.0,21.0,5.3
Kathryn Bigelow,6,251134406.0,321500000.0,443.0,43.300000000000004
Tom Hooper,5,326337872.0,201400000.0,330.0,32.9
Wally Pfister,1,23022309.0,100000000.0,42.0,6.2
Lawrence Guterman,2,110403937.0,160000000.0,67.0,7.3999999999999995
Scott Waugh,3,130300636.0,178000000.0,nan,17.6
Christian Rivers,1,15951040.0,100000000.0,44.0,6.1
Ron Underwood,3,71719201.0,190000000.0,128.0,16.7
George Clooney,7,nan,312000000.0,422.0,45.1
Steve Martino,3,446029693.0,279000000.0,187.0,20.3
Michael Patrick King,1,95347692.0,95000000.0,27.0,4.5
Jay Roach,10,1127211183.0,470000000.0,565.0,66.0
Bibo Bergeron,2,211725650.0,170000000.0,99.0,12.9
Don Paul,1,50863742.0,95000000.0,51.0,6.9
Jeffrey Katzenberg,1,50863742.0,95000000.0,51.0,6.9
William Wyler,4,173140051.0,120100000.0,nan,31.799999999999997
Sergei Bodrov,2,22929026.0,113000000.0,104.0,12.7
Rupert Wyatt,5,256384044.0,146916000.0,289.0,31.3
Mark Waters,6,344008218.0,234500000.0,310.0,37.6
John Moore,4,187904561.0,242000000.0,155.0,23.000000000000004
John Lee Hancock,6,412243161.0,219000000.0,332.0,40.6
Renny Harlin,14,499955845.0,697000000.0,572.0,81.19999999999997
Ben Stiller,5,303013389.0,306000000.0,276.0,31.699999999999996
Adil El Arbi,1,206305244.0,90000000.0,59.0,6.5
Bilall Fallah,1,206305244.0,90000000.0,59.0,6.5
Jeff Fowler,2,339847569.0,180000000.0,94.0,13.0
Dennis Dugan,9,854424492.0,501000000.0,278.0,51.4
Walt Becker,5,373905212.0,255000000.0,160.0,28.300000000000004
Sydney Pollack,5,526830316.0,239000000.0,315.0,33.0
Thor Freudenthal,4,208140157.0,149300000.0,207.0,24.599999999999998
Brian De Palma,13,409065690.0,390300000.0,834.0,87.99999999999999
Roar Uthaug,1,58250803.0,90000000.0,48.0,6.3
Mick Jackson,3,175443406.0,125000000.0,157.0,18.6
Alan J. Pakula,3,214236404.0,143500000.0,187.0,20.700000000000003
John Milius,3,93718682.0,145000000.0,nan,19.6
Paul W.S. Anderson,10,305764076.0,627500000.0,nan,58.6
Terry George,2,31755180.0,107500000.0,128.0,14.2
Gary Ross,3,549098582.0,216000000.0,193.0,21.4
Henry Joost,4,nan,115100000.0,208.0,22.9
Ariel Schulman,4,nan,115100000.0,208.0,22.9
Warren Coleman,1,198000317.0,85000000.0,77.0,6.4
Judy Morris,1,198000317.0,85000000.0,77.0,6.4
Garth Jennings,4,755033256.0,205084000.0,230.0,28.299999999999997
Christophe Lourdelet,3,703947840.0,160084000.0,167.0,21.6
Jimmy Hayward,3,220827036.0,187000000.0,142.0,17.3
Neil Burger,7,381783469.0,209750000.0,378.0,47.3
Genndy Tartakovsky,3,485523174.0,230000000.0,145.0,19.9
Daniel Espinosa,5,261931338.0,343000000.0,236.0,31.5
Nancy Meyers,5,559265341.0,355000000.0,273.0,33.6
Jill Culton,2,146375649.0,160000000.0,110.0,13.1
Anthony Stacchi,2,135942564.0,145000000.0,110.0,12.899999999999999
Tarsem Singh,4,222052934.0,221000000.0,166.0,24.5
Jean-Jacques Annaud,3,108536194.0,227000000.0,171.0,21.6
Sarah Smith,1,46462469.0,85000000.0,69.0,7.1
D.J. Caruso,6,284837307.0,268000000.0,255.0,35.6
Martin Brest,4,323880726.0,184000000.0,205.0,24.700000000000003
Andrew Davis,5,367597526.0,274000000.0,287.0,32.8
Tom Dey,4,217380194.0,240000000.0,186.0,22.0
Danny Cannon,3,78978848.0,142000000.0,nan,17.0
Edgar Wright,6,214420167.0,203000000.0,458.0,44.699999999999996
Jon Amiel,5,214742240.0,221000000.0,nan,31.200000000000003
Adam Brooks,2,nan,92000000.0,nan,12.899999999999999
Jeremy Gillespie,1,nan,85000000.0,nan,5.8
Matthew Kennedy,1,nan,85000000.0,nan,5.8
Michael Gracey,1,174340174.0,84000000.0,48.0,7.5
Peter Segal,10,nan,502200000.0,479.0,61.8
Sylvester Stallone,4,280986242.0,175500000.0,177.0,25.2
Kyle Balda,3,970365280.0,229000000.0,161.0,19.1
Brad Ableson,1,369695210.0,80000000.0,56.0,6.5
Jonathan del Val,2,528569605.0,160000000.0,111.0,12.9
Todd Phillips,9,1261026467.0,405000000.0,492.0,61.7
Chris Renaud,4,1146882095.0,300000000.0,250.0,27.799999999999997
Karey Kirkpatrick,3,254458194.0,215000000.0,181.0,18.9
Mimi Leder,4,239952269.0,190000000.0,182.0,26.5
Seth Gordon,5,430352975.0,212900000.0,228.0,30.099999999999998
