Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
James Cameron,8,2673746084.0,1190400000,593.0,63.3,334218260.5,7.9125,14.59686521
Anthony Russo,8,nan,1426000000,491.0,57.4,nan,7.175,nan
Joe Russo,8,nan,1426000000,491.0,57.4,nan,7.175,nan
Rob Marshall,6,788887603.0,760200000,364.0,39.50000000000001,131481267.16666667,6.583333333333335,9.212958676666668
Joss Whedon,5,1756750722.0,714000000,352.0,38.9,351350144.4,7.779999999999999,14.807002888
Louis Leterrier,7,757092622.0,748500000,340.0,44.199999999999996,108156088.85714285,6.314285714285714,8.477407491428572
Gore Verbinski,7,1153971900.0,993000000,376.0,47.9,164853128.57142857,6.8428571428571425,10.139919714285714
Zack Snyder,10,nan,1280500000,513.0,68.19999999999999,nan,6.8199999999999985,nan
James Mangold,9,908798110.0,803000000,569.0,64.89999999999999,100977567.77777778,7.21111111111111,9.230662466666665
Christopher McQuarrie,5,673463261.0,687000000,341.0,36.6,134692652.2,7.32,10.013853044000001
Nikolai Kurbatov,1,nan,275000000,nan,nan,nan,nan,nan
Ron Howard,18,nan,1482000000,1029.0,123.2,nan,6.844444444444445,nan
Nia DaCosta,1,nan,274800000,nan,nan,nan,nan,nan
Andrew Stanton,5,1326823651.0,782700000,390.0,37.6,265364730.2,7.5200000000000005,12.827294604
Roger Allers,4,931398302.0,436300000,286.0,30.1,232849575.5,7.525,12.18199151
Rob Minkoff,8,1307800075.0,899300000,498.0,52.7,163475009.375,6.5875,9.8570001875
Nathan Greno,1,200821936.0,260000000,71.0,7.7,200821936.0,7.7,11.71643872
Byron Howard,4,752237385.0,710000000,291.0,29.7,188059346.25,7.425,11.186186925
Sam Raimi,12,1895450515.0,1140875000,778.0,84.10000000000001,157954209.58333334,7.008333333333334,10.167417525000001
Ryan Coogler,4,1280135848.0,487900000,322.0,29.1,320033962.0,7.275,13.675679240000001
