,ProductionBudget,Director_Avg_Rating,OMDB_Runtime,ReleaseMonth,Writer_Avg_Rating,OMDB_imdbRating,orig_index,actual,predictions
0,460000000,7.91,192.0,12.0,7.33,7.6,0,7.6,8.34035
1,400000000,7.18,181.0,4.0,7.16,8.4,1,8.4,7.5455494
2,379000000,6.58,136.0,5.0,6.81,6.6,2,6.6,6.5989213
3,365000000,7.78,141.0,5.0,6.71,7.3,3,7.3,6.9473953
4,340000000,6.31,141.0,5.0,5.97,5.8,4,5.8,5.8581285
5,300000000,7.18,149.0,4.0,7.16,8.4,5,8.4,7.0952563
6,300000000,6.84,169.0,5.0,6.81,7.1,6,7.1,6.9405155
7,300000000,6.82,120.0,11.0,6.12,6.1,7,6.1,6.2450404
8,300000000,7.21,154.0,6.0,6.77,6.7,8,6.7,6.9256487
9,290000000,7.3,163.0,7.0,7.11,7.8,9,7.8,7.2018156
10,275000000,6.84,135.0,5.0,6.92,6.9,11,6.9,6.7129607
11,274800000,6.0,105.0,11.0,6.0,6.0,12,6.0,5.6747637
12,263700000,7.52,132.0,3.0,7.16,6.6,13,6.6,7.2716875
13,263000000,6.82,151.0,3.0,6.34,6.5,14,6.5,6.220299
14,260000000,7.06,88.0,6.0,7.43,8.5,15,8.5,7.1354613
15,260000000,7.56,100.0,11.0,6.56,7.7,16,7.7,6.6910295
16,258000000,7.01,139.0,5.0,6.77,6.3,17,6.3,6.7280445
17,250000000,7.28,161.0,11.0,7.09,6.7,18,6.7,7.1930428
18,250000000,7.18,147.0,5.0,7.29,7.8,19,7.8,7.271244
19,250000000,7.32,150.0,5.0,7.27,7.9,20,7.9,7.309503
20,250000000,7.45,118.0,7.0,6.86,6.2,21,6.2,6.9774804
21,250000000,6.87,153.0,7.0,7.3,7.6,22,7.6,7.1510215
22,250000000,7.51,83.0,11.0,7.43,7.6,23,7.6,7.334042
23,250000000,7.72,161.0,12.0,7.48,7.8,24,7.8,7.53409
24,250000000,7.72,144.0,12.0,7.48,7.4,25,7.4,7.5121365
25,250000000,6.74,136.0,4.0,6.41,6.6,26,6.6,6.2286663
26,250000000,7.5,163.0,10.0,7.14,7.3,27,7.3,7.238536
27,245000000,7.51,148.0,11.0,6.94,6.8,28,6.8,7.055242
28,237000000,7.91,162.0,12.0,7.69,7.9,29,7.9,7.7847223
29,232000000,7.25,154.0,6.0,6.56,6.1,30,6.1,6.7702904
30,230000000,8.19,164.0,7.0,7.85,8.4,31,8.4,8.08462
31,230000000,6.18,129.0,5.0,6.85,6.5,32,6.5,6.4283867
32,230000000,7.1,106.0,11.0,7.17,6.6,33,6.6,7.0566683
33,225000000,7.78,143.0,5.0,6.91,8.0,34,8.0,7.2342787
34,225000000,6.84,151.0,7.0,6.81,7.4,35,7.4,6.810257
35,225000000,6.82,143.0,6.0,7.01,7.1,36,7.1,6.957412
36,225000000,7.1,150.0,5.0,7.01,6.5,37,6.5,7.078469
37,225000000,6.84,150.0,7.0,6.82,6.4,38,6.4,6.8165483
38,220000000,7.03,136.0,7.0,6.77,6.9,39,6.9,6.836598
39,220000000,6.73,131.0,5.0,5.99,5.8,40,5.8,5.900093
40,217000000,6.41,154.0,6.0,6.25,5.2,41,5.2,6.151849
41,215000000,6.5,124.0,6.0,6.83,6.9,42,6.9,6.6098394
42,215000000,6.47,106.0,5.0,6.4,6.8,43,6.8,6.0527945
43,210000000,6.41,149.0,6.0,6.59,6.0,44,6.0,6.4823093
44,210000000,6.41,165.0,6.0,6.05,5.6,45,5.6,6.0959024
45,210000000,6.57,104.0,5.0,6.47,6.6,46,6.6,6.1772127
46,210000000,6.95,140.0,5.0,6.55,6.6,47,6.6,6.644297
47,207000000,7.72,187.0,12.0,7.48,7.2,48,7.2,7.643297
48,205000000,6.31,113.0,12.0,6.51,6.1,49,6.1,6.28759
49,205000000,8.19,150.0,9.0,8.18,7.3,50,7.3,8.334895
50,200000000,7.32,148.0,12.0,7.19,8.2,52,8.2,7.2437844
51,200000000,7.28,134.0,2.0,7.09,7.3,53,7.3,7.221397
52,200000000,7.91,194.0,12.0,7.69,7.9,54,7.9,7.8911247
53,200000000,7.57,118.0,6.0,7.64,7.6,55,7.6,7.674569
54,200000000,6.82,133.0,12.0,7.24,7.8,56,7.8,7.0853605
55,200000000,7.08,97.0,6.0,7.47,7.2,57,7.2,7.3293514
56,200000000,7.7,100.0,6.0,7.66,7.7,58,7.7,7.685464
57,200000000,8.18,103.0,6.0,7.88,8.3,59,8.3,8.01745
58,200000000,7.01,126.0,5.0,7.09,6.9,60,6.9,7.1012635
59,200000000,6.88,130.0,5.0,6.93,7.1,61,7.1,6.9489164
60,200000000,7.32,136.0,5.0,7.15,7.6,62,7.6,7.2754827
61,200000000,7.01,127.0,6.0,6.81,7.5,63,7.5,6.8914375
62,200000000,6.98,176.0,3.0,6.7,7.8,64,7.8,6.9043264
63,200000000,6.93,108.0,3.0,6.81,6.4,65,6.4,6.7085857
64,200000000,7.51,143.0,11.0,6.94,7.8,66,7.8,7.127933
65,200000000,7.72,169.0,12.0,7.48,7.8,67,7.8,7.6323633
66,200000000,7.3,104.0,6.0,7.34,7.2,68,7.2,7.323706
67,200000000,7.01,130.0,3.0,6.42,6.3,69,6.3,6.4854155
68,200000000,7.25,132.0,5.0,6.94,7.9,70,7.9,7.084689
69,200000000,6.52,124.0,2.0,6.43,6.1,71,6.1,6.1977377
70,200000000,7.03,142.0,5.0,6.65,6.6,72,6.6,6.8143697
71,200000000,6.78,106.0,6.0,6.85,6.2,73,6.2,6.719846
72,200000000,6.5,134.0,7.0,6.9,6.7,74,6.7,6.780179
73,200000000,7.1,137.0,8.0,6.55,6.5,75,6.5,6.7181134
74,200000000,6.4,143.0,6.0,5.55,5.2,76,5.2,5.4524035
75,200000000,7.43,125.0,12.0,6.83,6.8,77,6.8,6.980051
76,200000000,6.41,125.0,10.0,6.19,6.2,78,6.2,6.0661697
77,200000000,6.17,158.0,11.0,5.71,5.8,79,5.8,5.9984293
78,200000000,6.8,156.0,11.0,6.45,6.3,80,6.3,6.5677576
79,200000000,6.87,134.0,11.0,7.29,6.5,81,6.5,7.1551766
80,200000000,6.85,101.0,6.0,7.0,7.0,82,7.0,6.8751554
81,200000000,6.01,115.0,5.0,6.3,6.5,83,6.5,5.8228254
82,200000000,6.65,105.0,6.0,6.7,6.1,84,6.1,6.5014935
83,200000000,6.41,127.0,7.0,6.4,6.6,85,6.6,6.2261696
84,200000000,6.73,114.0,6.0,6.15,5.5,86,5.5,6.0491405
85,200000000,6.68,144.0,6.0,6.32,6.7,87,6.7,6.356702
86,200000000,6.87,142.0,4.0,7.3,6.2,88,6.2,7.256859
87,200000000,5.65,113.0,6.0,6.36,5.7,89,5.7,5.710091
88,200000000,7.59,206.0,10.0,7.55,8.1,90,8.1,7.713044
89,200000000,7.3,102.0,3.0,7.15,7.4,91,7.4,7.171029
90,200000000,6.7,151.0,12.0,6.31,5.4,92,5.4,6.472661
91,200000000,7.65,102.0,12.0,7.05,7.8,93,7.8,7.1950254
92,200000000,7.24,87.0,6.0,7.46,7.6,94,7.6,7.3488097
93,200000000,6.77,138.0,7.0,6.2,6.6,95,6.6,6.2697935
94,200000000,7.18,122.0,7.0,6.97,6.5,96,6.5,7.0513487
95,195000000,6.41,154.0,6.0,6.05,6.2,97,6.2,6.0269957
96,195000000,6.6,127.0,6.0,6.16,6.1,98,6.1,6.0818844
97,195000000,6.39,124.0,5.0,6.85,7.1,99,7.1,6.620834
98,195000000,7.25,114.0,3.0,6.59,6.3,100,6.3,6.7013836
