,Writer_Avg_Rating,Director_Avg_Rating,Actor_Avg_Rating,runtimeMinutes,OMDB_Metascore,genres,OMDB_Rated,ReleaseMonth,averageRating,actual,predictions
0,7.03,7.36,6.61,77.0,79.0,3,1,4.0,7.4,7.4,7.278666666666662
1,6.22,5.9,6.25,90.0,40.0,12,0,8.0,6.0,6.0,6.008666666666668
2,6.04,6.2,6.09,114.0,61.0,6,3,10.0,5.4,5.4,5.7340000000000195
3,5.8,5.8,5.92,105.0,43.0,6,0,9.0,5.8,5.8,5.814333333333327
4,5.77,5.45,6.03,91.0,47.0,2,2,8.0,5.5,5.5,5.704000000000002
5,6.23,6.38,6.18,101.0,56.0,2,0,10.0,6.5,6.5,6.433999999999999
6,6.64,6.63,6.38,105.0,52.0,4,2,1.0,6.4,6.4,6.475333333333353
7,6.9,6.67,6.92,101.0,67.0,3,3,5.0,6.8,6.8,6.87633333333332
8,5.45,5.5,6.19,92.0,54.0,2,3,7.0,5.5,5.5,5.851333333333342
9,5.7,5.7,5.79,85.0,63.0,4,3,2.0,5.7,5.7,5.690333333333354
10,6.83,6.9,6.75,106.0,58.0,4,3,1.0,6.9,6.9,6.912333333333356
11,6.2,6.2,6.07,94.0,66.0,2,2,10.0,6.2,6.2,6.256333333333355
12,6.91,7.33,6.7,105.0,87.0,12,0,1.0,7.1,7.1,7.295666666666637
13,4.7,5.4,6.03,92.0,54.0,6,0,6.0,4.7,4.7,4.870333333333353
14,7.31,6.87,6.42,120.0,46.0,4,2,2.0,7.1,7.1,7.030666666666666
15,7.45,7.64,6.27,120.0,84.0,10,0,12.0,8.0,8.0,7.759999999999999
16,6.1,6.1,6.39,99.0,65.0,10,3,8.0,6.6,6.6,6.515333333333312
17,6.35,6.35,6.37,91.0,77.0,4,3,6.0,6.8,6.8,6.661333333333314
18,5.95,5.98,5.93,86.0,53.0,2,3,5.0,6.0,6.0,5.9656666666666665
19,7.1,7.1,6.4,99.0,75.0,4,3,1.0,6.8,6.8,7.205333333333324
20,5.1,5.16,6.2,106.0,34.0,2,2,4.0,4.5,4.5,4.820000000000001
21,6.4,6.4,5.61,82.0,81.0,12,3,2.0,6.4,6.4,6.401333333333357
22,6.98,7.1,6.88,123.0,77.0,12,3,1.0,7.0,7.0,7.130999999999999
23,5.7,5.85,5.48,104.0,66.0,2,3,10.0,5.7,5.7,5.69033333333335
24,6.83,6.86,6.3,99.0,69.0,4,0,5.0,6.7,6.7,6.80900000000002
25,7.78,7.78,7.6,88.0,58.0,3,3,9.0,7.6,7.6,7.599666666666639
26,6.42,6.52,6.31,100.0,62.0,10,3,1.0,6.1,6.1,6.1686666666666445
27,5.95,7.17,6.55,109.0,46.0,2,2,6.0,6.3,6.3,6.399000000000004
28,6.35,6.35,6.09,107.0,46.0,12,2,4.0,6.5,6.5,6.358999999999996
29,6.74,6.59,6.48,128.0,83.0,4,0,1.0,7.5,7.5,7.41966666666667
30,5.47,5.43,5.31,108.0,31.0,2,2,4.0,5.1,5.1,5.132666666666657
31,6.79,7.01,6.71,108.0,53.0,0,1,3.0,6.4,6.4,6.908666666666666
32,8.31,8.22,7.24,118.0,47.0,3,3,6.0,8.5,8.5,8.35233333333333
33,6.36,6.04,6.37,137.0,41.0,4,0,4.0,6.4,6.4,6.36600000000002
34,6.87,6.45,6.68,101.0,52.0,4,1,2.0,7.1,7.1,7.007666666666639
35,4.47,4.95,5.71,91.0,41.0,2,1,10.0,3.9,3.9,5.062666666666662
36,5.73,7.17,6.09,98.0,53.0,12,0,4.0,5.5,5.5,5.73733333333333
37,6.08,6.08,6.2,108.0,68.0,4,3,1.0,6.4,6.4,6.383333333333353
38,6.31,6.82,6.29,130.0,47.0,2,2,3.0,6.0,6.0,6.168999999999999
39,7.57,7.79,7.76,73.0,57.0,4,3,5.0,7.8,7.8,7.760333333333328
40,6.44,6.4,6.31,111.0,54.0,2,3,7.0,6.4,6.4,6.488000000000025
41,6.28,4.45,6.0,104.0,60.0,12,2,10.0,6.1,6.1,6.130000000000002
42,6.82,6.7,6.93,117.0,67.0,2,3,6.0,6.7,6.7,6.821666666666689
43,5.9,5.3,6.29,113.0,41.0,2,1,9.0,4.4,4.4,4.960000000000008
44,5.25,5.3,5.65,107.0,39.0,10,1,9.0,5.0,5.0,5.072666666666667
45,6.6,6.6,6.58,80.0,46.0,12,3,4.0,6.8,6.8,6.697999999999977
46,6.97,6.9,7.37,148.0,76.0,4,0,10.0,7.8,7.8,7.501333333333332
47,5.9,5.93,6.14,130.0,55.0,2,2,12.0,5.9,5.9,6.199666666666674
48,6.52,6.04,6.61,131.0,74.0,6,0,11.0,6.8,6.8,6.91733333333332
49,7.0,7.0,5.81,118.0,61.0,2,0,8.0,7.0,7.0,7.018999999999999
50,6.5,5.2,6.23,106.0,65.0,4,0,4.0,6.5,6.5,6.4573333333333425
51,5.51,6.24,6.45,104.0,66.0,6,0,6.0,5.8,5.8,6.116999999999983
52,5.4,5.85,5.33,82.0,9.0,6,0,9.0,5.4,5.4,5.262666666666681
53,6.2,6.2,5.85,77.0,54.0,2,3,5.0,6.2,6.2,6.1133333333333555
54,6.7,7.13,6.23,151.0,56.0,4,3,9.0,6.7,6.7,6.807666666666687
55,5.47,5.3,5.52,96.0,51.0,12,2,4.0,5.3,5.3,5.3979999999999855
56,6.72,6.15,6.51,106.0,61.0,4,1,11.0,6.7,6.7,6.777333333333356
