,runtimeMinutes,averageRating,OMDB_Metascore,ProductionBudget,genres,User_rating,orig_index,actual,predictions
0,137,6.3,41.0,165000000.0,Action,8.5,3331,8.5,8.108000000000002
1,105,7.8,71.0,144000000.0,Comedy,8.5,3418,8.5,8.515999999999998
2,102,6.4,70.0,200000000.0,Drama,7.2,5357,7.2,7.138666666666665
3,92,7.0,77.0,75000000.0,Comedy,6.2,8030,6.2,7.06666666666666
4,93,5.2,65.0,88000000.0,Comedy,8.1,8675,8.1,7.725333333333344
5,83,7.6,88.0,250000000.0,Action,8.7,9461,8.7,8.705333333333336
6,101,6.5,49.0,103000000.0,Drama,8.6,13058,8.6,7.568000000000001
7,111,6.0,63.0,175000000.0,Romance,7.4,16112,7.4,7.269333333333327
8,88,8.5,88.0,260000000.0,Drama,9.5,16194,9.5,9.225333333333333
9,88,8.5,88.0,79300000.0,Drama,9.2,16195,9.2,8.798666666666664
10,91,7.0,74.0,100000000.0,Drama,8.7,19094,8.7,8.382666666666669
11,88,6.5,59.0,80000000.0,Comedy,8.2,19693,8.2,7.974666666666665
12,89,3.8,12.0,225000000.0,Action,8.0,20068,8.0,7.128
13,93,5.3,37.0,80000000.0,Comedy,7.2,20367,7.2,6.873333333333326
14,98,7.3,71.0,90000000.0,Comedy,8.2,20683,8.2,8.235999999999999
15,129,7.3,52.0,105000000.0,Action,7.8,21011,7.8,7.581333333333335
16,194,7.9,75.0,200000000.0,Romance,9.1,21084,9.1,8.917333333333344
17,92,7.9,88.0,90000000.0,Comedy,8.6,21099,8.6,8.633333333333338
18,97,5.8,68.0,80000000.0,Comedy,7.0,21236,7.0,7.00266666666667
19,124,7.1,48.0,195000000.0,Action,9.3,21249,9.3,7.614666666666666
20,124,7.1,48.0,80000000.0,Action,9.0,21250,9.0,8.530666666666667
21,106,5.7,40.0,87500000.0,Action,6.1,21285,6.1,6.308000000000006
22,139,5.4,32.0,160000000.0,Thriller,7.8,21297,7.8,7.053333333333334
23,178,8.8,92.0,93000000.0,Drama,8.7,21333,8.7,8.581333333333335
24,114,5.7,51.0,80000000.0,Action,6.2,21344,6.2,6.4986666666666695
25,87,7.7,71.0,200000000.0,Comedy,9.7,21350,9.7,8.782666666666664
26,88,7.3,79.0,145000000.0,Comedy,9.0,21414,9.0,8.793333333333333
27,104,7.3,64.0,75000000.0,Action,6.6,21450,6.6,7.036000000000005
28,75,7.1,59.0,80000000.0,Family,8.2,21453,8.2,8.077333333333332
29,78,7.4,70.0,100000000.0,Comedy,9.0,21457,9.0,8.728
30,82,6.4,56.0,127500000.0,Drama,7.0,22984,7.0,7.754666666666669
31,95,7.2,60.0,100000000.0,Action,8.6,23265,8.6,8.400000000000004
32,121,7.4,73.0,139000000.0,Action,7.8,24817,7.8,8.036
33,154,7.2,73.0,80000000.0,Romance,7.6,26162,7.6,7.678666666666674
34,98,5.6,52.0,90000000.0,Comedy,7.1,26261,7.1,6.974666666666673
