Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
James Cameron,10,2849345250.0,1515400000.0,684.0,76.89999999999999
Rick Jaffa,7,1921566675.0,1210000000.0,427.0,50.2
Amanda Silver,6,1774686513.0,1058000000.0,345.0,42.800000000000004
Christopher Markus,10,nan,1865000000.0,631.0,71.9
Stephen McFeely,10,nan,1865000000.0,631.0,71.9
Stan Lee,19,8015936523.0,3853200000.0,1228.0,134.70000000000002
Ted Elliott,12,2184638314.0,1899000000.0,nan,83.7
Terry Rossio,9,1749707400.0,1724000000.0,481.0,61.89999999999999
Stuart Beattie,9,1369237608.0,1386000000.0,427.0,59.2
Joss Whedon,7,1846619657.0,804000000.0,487.0,52.099999999999994
Jack Kirby,4,nan,759500000.0,nan,23.3
Dan Mazeau,2,229630743.0,490000000.0,93.0,11.5
Justin Lin,4,322821863.0,540750000.0,227.0,23.8
Zach Dean,3,nan,546000000.0,153.0,18.599999999999998
Jerry Siegel,8,1198516041.0,963000000.0,446.0,49.300000000000004
Joe Shuster,5,547320093.0,465000000.0,278.0,29.0
Chris Terrio,2,365049798.0,344500000.0,131.0,13.8
Jez Butterworth,7,388582263.0,691000000.0,425.0,46.599999999999994
John-Henry Butterworth,4,314930515.0,558000000.0,269.0,28.300000000000004
David Koepp,18,2361995968.0,1567000000.0,1084.0,118.9
Bruce Geller,5,1006132670.0,843000000.0,388.0,37.8
Christopher McQuarrie,10,1012907678.0,1256000000.0,633.0,72.4
Erik Jendresen,2,nan,291800000.0,nan,13.2
Nikolai Kurbatov,1,nan,275000000.0,nan,nan
Jonathan Kasdan,3,224843306.0,287500000.0,164.0,20.1
Lawrence Kasdan,8,680283212.0,517700000.0,435.0,53.0
George Lucas,6,1271070679.0,556777000.0,431.0,44.6
Nia DaCosta,1,nan,274800000.0,nan,nan
Megan McDonnell,1,nan,274800000.0,nan,nan
Elissa Karasik,1,nan,274800000.0,nan,nan
Andrew Stanton,8,2399092218.0,1212700000.0,662.0,61.900000000000006
Mark Andrews,2,310361307.0,448700000.0,120.0,13.7
Michael Chabon,2,92471657.0,298700000.0,125.0,13.8
Bob Kane,10,nan,1109377800.0,559.0,64.6
Bill Finger,1,330360194.0,263000000.0,44.0,6.5
Irene Mecchi,3,945706405.0,439300000.0,250.0,24.0
Jonathan Roberts,4,880131139.0,404300000.0,256.0,28.099999999999998
Linda Woolverton,9,2384266378.0,1257300000.0,605.0,65.5
Dan Fogelman,8,701495591.0,748000000.0,440.0,54.4
Jacob Grimm,4,456798551.0,316488000.0,254.0,26.9
Wilhelm Grimm,4,456798551.0,316488000.0,254.0,26.9
Sam Raimi,7,455513322.0,359875000.0,454.0,49.1
Ivan Raimi,3,390133904.0,299000000.0,201.0,20.299999999999997
Alvin Sargent,7,749845861.0,595200000.0,nan,46.2
Ryan Coogler,5,1436384463.0,562900000.0,395.0,35.9
Joe Robert Cole,2,1154255626.0,450000000.0,155.0,14.0
Joe Simon,3,844505426.0,560000000.0,211.0,22.5
James Gunn,11,1512245047.0,966250000.0,629.0,75.1
Jim Starlin,1,358995815.0,250000000.0,64.0,7.9
Taika Waititi,3,381833204.0,266500000.0,196.0,21.900000000000002
Jennifer Kaytin Robinson,1,343256830.0,250000000.0,57.0,6.2
Steve Kloves,8,1801713616.0,1210000000.0,556.0,58.5
J.K. Rowling,9,2206265599.0,1485000000.0,605.0,65.60000000000001
John Musker,8,1135802845.0,985000000.0,622.0,60.099999999999994
Ron Clements,8,1135802845.0,985000000.0,622.0,60.099999999999994
Hans Christian Andersen,3,989870066.0,550000000.0,227.0,21.799999999999997
Fran Walsh,13,2572648574.0,1414672000.0,925.0,98.7
Philippa Boyens,11,2569356816.0,1406672000.0,785.0,83.9
Peter Jackson,10,1534153351.0,1133672000.0,652.0,72.10000000000001
Gary Scott Thompson,10,1485628735.0,1091000000.0,458.0,64.39999999999999
Chris Morgan,11,1444686110.0,1368000000.0,577.0,70.10000000000001
Neal Purvis,10,1492860399.0,1406000000.0,637.0,69.5
Robert Wade,9,1484554429.0,1361000000.0,591.0,63.2
Cary Joji Fukunaga,3,489856765.0,291000000.0,216.0,22.3
John Logan,14,1317595137.0,1406500000.0,849.0,95.7
Michael Dougherty,5,609665388.0,750000000.0,280.0,31.5
Dan Harris,2,200309959.0,242000000.0,125.0,13.2
Bryan Singer,3,512823399.0,485000000.0,188.0,20.3
Jonathan Nolan,5,1249791435.0,625000000.0,385.0,42.99999999999999
Christopher Nolan,12,2612862174.0,1615006000.0,895.0,98.2
David S. Goyer,11,1854793229.0,1267500000.0,591.0,74.5
Jeff Nathanson,7,1098902758.0,852000000.0,373.0,46.800000000000004
Paul Haggis,10,788198000.0,510303082.0,721.0,75.5
Zak Penn,11,1841235866.0,972900000.0,597.0,72.5
Andrew Adamson,4,918080543.0,480000000.0,246.0,26.599999999999998
Justin Haythe,5,244949024.0,354850000.0,261.0,33.1
James Vanderbilt,9,609580255.0,666600000.0,484.0,58.4
Jon Hoeber,7,nan,724000000.0,nan,41.9
Erich Hoeber,7,nan,724000000.0,nan,41.9
Art Marcum,5,685904413.0,668000000.0,219.0,30.9
Matt Holloway,4,366870287.0,482000000.0,140.0,23.0
Ken Nolan,3,257151411.0,350000000.0,173.0,20.5
Colin Trevorrow,3,1447977465.0,550000000.0,148.0,18.6
Etan Cohen,7,688209919.0,609400000.0,378.0,43.7
Lowell Cunningham,3,509713200.0,415000000.0,167.0,19.7
Ehren Kruger,11,1431920047.0,945500000.0,499.0,66.60000000000001
Roberto Orci,10,1675287104.0,1279000000.0,565.0,68.6
Alex Kurtzman,10,1675287104.0,1279000000.0,565.0,68.6
Simon Kinberg,10,nan,1270500000.0,nan,63.5
Brian Helgeland,18,993997492.0,1129000000.0,nan,122.40000000000002
Ethan Reiff,8,nan,799000000.0,nan,52.800000000000004
Cyrus Voris,4,254987314.0,373000000.0,194.0,25.3
Chris Weitz,7,1177693807.0,669900000.0,nan,48.4
Philip Pullman,1,70107728.0,205000000.0,51.0,6.1
David Leslie Johnson-McGoldrick,6,nan,617000000.0,nan,nan
James Wan,9,nan,370200000.0,nan,nan
Jason Momoa,1,nan,205000000.0,nan,nan
Chris McKenna,6,2021301339.0,682000000.0,383.0,42.699999999999996
Erik Sommers,5,2001772737.0,660000000.0,343.0,36.8
Brad Bird,5,1193219847.0,662000000.0,411.0,38.2
Tony Gilroy,13,1656785946.0,1191500000.0,812.0,90.9
John Knoll,1,533539991.0,200000000.0,65.0,7.8
Victoria Strouse,1,486295561.0,200000000.0,77.0,7.2
John Lasseter,7,1916454689.0,835000000.0,567.0,52.80000000000001
Josh Cooley,1,434038008.0,200000000.0,84.0,7.7
Lee Unkrich,2,625464895.0,375000000.0,173.0,16.700000000000003
Michael Waldron,1,411331607.0,200000000.0,60.0,6.9
Steve Ditko,3,1191940292.0,539000000.0,216.0,21.8
Drew Pearce,5,1193735447.0,572200000.0,317.0,34.2
Shane Black,10,1333405478.0,700200000.0,547.0,68.6
Dan Abnett,2,723531701.0,370000000.0,143.0,15.6
Andy Lanning,1,389813101.0,200000000.0,67.0,7.6
Alfred Gough,8,883143543.0,805000000.0,401.0,48.6
Matt Reeves,6,584930503.0,460000000.0,nan,39.199999999999996
Peter Craig,7,2051249410.0,817000000.0,466.0,49.7
Lewis Carroll,3,745423601.0,373000000.0,140.0,19.0
Dan Scanlon,2,330047909.0,400000000.0,126.0,14.600000000000001
Daniel Gerson,2,491020592.0,365000000.0,139.0,15.0
Robert L. Baird,3,575430972.0,476000000.0,197.0,21.7
Mitchell Kapner,4,364476124.0,279000000.0,167.0,24.599999999999998
David Lindsay-Abaire,5,486057077.0,490000000.0,291.0,33.0
L. Frank Baum,3,267098679.0,251000000.0,139.0,18.5
Jane Goldman,9,868286314.0,801000000.0,560.0,65.10000000000001
Matthew Vaughn,7,617478258.0,616000000.0,420.0,50.6
Jeff Loveness,1,214504909.0,200000000.0,48.0,6.1
Larry Lieber,1,214504909.0,200000000.0,48.0,6.1
Jeff Pinkner,6,1035818017.0,570000000.0,248.0,37.3
Bradford Lewis,1,191452396.0,200000000.0,57.0,6.2
Eric Pearson,2,498709944.0,380000000.0,142.0,14.600000000000001
Jac Schaeffer,1,183651655.0,200000000.0,68.0,6.7
Ned Benson,1,183651655.0,200000000.0,68.0,6.7
Daniel Casey,2,178724041.0,230000000.0,93.0,11.0
Alfredo Botello,1,173005945.0,200000000.0,58.0,5.2
Edward Kitsis,1,172062763.0,200000000.0,49.0,6.8
Adam Horowitz,1,172062763.0,200000000.0,49.0,6.8
Brian Klugman,2,183557601.0,206000000.0,86.0,13.8
Adam Sztykiel,3,314703888.0,305000000.0,129.0,18.5
Rory Haines,1,168152111.0,200000000.0,41.0,6.2
Sohrab Noshirvani,1,168152111.0,200000000.0,41.0,6.2
Roland Emmerich,6,844434357.0,710000000.0,272.0,36.5
Harald Kloser,3,279957028.0,455000000.0,124.0,15.999999999999998
Chloé Zhao,2,168570234.0,205000000.0,143.0,13.6
Patrick Burleigh,2,205371951.0,245000000.0,95.0,12.5
Ryan Firpo,1,164870234.0,200000000.0,52.0,6.3
John Hoberg,1,154426697.0,200000000.0,58.0,7.0
Kat Likkel,1,154426697.0,200000000.0,58.0,7.0
Brenda Hsueh,1,154426697.0,200000000.0,58.0,7.0
John Brancato,6,453525345.0,622000000.0,301.0,36.2
Michael Ferris,5,413322966.0,522000000.0,274.0,32.8
Angus MacLane,1,118307188.0,200000000.0,60.0,6.1
Matthew Aldrich,2,328767203.0,375000000.0,141.0,14.5
Jason Headley,2,179862333.0,400000000.0,121.0,13.5
Michael Green,7,762736446.0,982000000.0,399.0,47.7
Glenn Ficarra,6,344115959.0,382000000.0,326.0,37.6
John Requa,7,453235065.0,521000000.0,378.0,42.900000000000006
Greg Berlanti,3,202017840.0,351000000.0,127.0,18.1
Marc Guggenheim,2,185160726.0,290000000.0,78.0,11.2
Keith Bunin,1,61555145.0,200000000.0,61.0,7.4
Eric Roth,12,1167203620.0,1079000000.0,839.0,89.0
Martin Scorsese,5,170812776.0,357500000.0,423.0,39.39999999999999
David Grann,2,50615473.0,230000000.0,167.0,14.7
Patty Jenkins,2,81270246.0,205000000.0,134.0,12.7
Geoff Johns,2,381905350.0,360000000.0,115.0,12.2
Dave Callaham,8,941711652.0,725000000.0,439.0,51.800000000000004
Robert D. San Souci,2,241240508.0,290000000.0,142.0,15.2
Rita Hsiao,3,263125615.0,296500000.0,181.0,21.299999999999997
Chris Sanders,7,1229719742.0,850000000.0,536.0,53.8
Joe Russo,3,nan,277000000.0,166.0,19.6
Paul Fisher,4,489003682.0,425000000.0,257.0,28.5
Tommy Swerdlow,4,521099513.0,336000000.0,235.0,27.8
Tom Wheeler,4,580809137.0,469000000.0,274.0,28.299999999999997
Joby Harold,4,nan,468600000.0,173.0,25.1
Darnell Metayer,1,157066392.0,195000000.0,42.0,6.1
Josh Peters,1,157066392.0,195000000.0,42.0,6.1
Stephen Sommers,7,759321542.0,654500000.0,nan,44.50000000000001
Lloyd Fonvielle,2,310770976.0,275000000.0,96.0,14.2
Kevin Jarre,6,587538987.0,452000000.0,324.0,42.49999999999999
Darren Lemke,7,702760349.0,813000000.0,389.0,43.6
Dan Studney,1,65187603.0,195000000.0,51.0,6.3
Damon Lindelof,4,651499778.0,675000000.0,259.0,28.1
Matthew Michael Carnahan,6,392338582.0,546500000.0,349.0,41.00000000000001
Drew Goddard,5,571202199.0,385000000.0,339.0,36.1
Baz Luhrmann,5,536661387.0,426500000.0,287.0,35.0
Craig Pearce,5,518269930.0,340500000.0,271.0,34.8
F. Scott Fitzgerald,3,417225318.0,357000000.0,180.0,22.2
Travis Beacham,3,428232682.0,330000000.0,143.0,18.5
Guillermo del Toro,11,nan,621000000.0,nan,75.10000000000001
Lana Wachowski,10,853712270.0,1060500000.0,nan,68.89999999999999
David Mitchell,2,64795077.0,292000000.0,118.0,13.100000000000001
Aleksandar Hemon,1,37686805.0,190000000.0,63.0,5.7
Bob Peterson,3,796934545.0,456500000.0,244.0,23.2
Peter Sohn,1,123087120.0,187500000.0,66.0,6.7
Erik Benson,1,123087120.0,187500000.0,66.0,6.7
Mark Fergus,1,319034126.0,186000000.0,79.0,7.9
Hawk Ostby,1,319034126.0,186000000.0,79.0,7.9
Brenda Chapman,3,675218447.0,365000000.0,259.0,23.1
Steve Purcell,1,237283207.0,185000000.0,69.0,7.1
Dan Gilroy,6,nan,471500000.0,374.0,40.4
Max Borenstein,2,278552950.0,355000000.0,110.0,12.7
Derek Connolly,5,1000004775.0,645750000.0,264.0,31.0
Simon Pegg,6,265449537.0,276000000.0,411.0,43.0
Doug Jung,2,171099980.0,200000000.0,127.0,13.6
Gene Roddenberry,12,1173315267.0,685000000.0,744.0,82.60000000000001
Noah Harpster,2,175633660.0,230000000.0,123.0,13.8
Micah Fitzerman-Blue,2,175633660.0,230000000.0,123.0,13.8
Hampton Fancher,2,124986164.0,213000000.0,165.0,16.1
Philip K. Dick,9,623957820.0,675200000.0,574.0,65.1
Justin Rhodes,1,62253077.0,185000000.0,54.0,6.2
Billy Ray,13,896214119.0,871000000.0,746.0,85.39999999999998
Craig Kyle,1,315058289.0,180000000.0,74.0,7.9
Christopher L. Yost,3,525239093.0,340000000.0,150.0,19.299999999999997
Charles Perrault,3,643713084.0,277900000.0,190.0,20.700000000000003
Milt Banta,1,241410378.0,180000000.0,56.0,6.9
Pete Docter,6,1633454153.0,765000000.0,540.0,49.099999999999994
Jim Reardon,2,413231053.0,345000000.0,167.0,16.1
Ross LaManna,3,507477118.0,305000000.0,152.0,19.9
Adam Cozad,3,194511551.0,305000000.0,149.0,18.3
Craig Brewer,3,158242740.0,197800000.0,164.0,20.400000000000002
Edgar Rice Burroughs,1,126643061.0,180000000.0,44.0,6.2
Brian Selznick,1,73864507.0,180000000.0,83.0,7.5
Pierre Christin,1,41189488.0,180000000.0,51.0,6.4
Jean-Claude Mézières,1,41189488.0,180000000.0,51.0,6.4
Luc Besson,25,nan,916157373.0,nan,161.7
Lilly Wachowski,8,788917193.0,768500000.0,nan,55.8
Dean Georgaris,4,347573748.0,457000000.0,nan,22.5
Anna Boden,3,435891405.0,183700000.0,212.0,21.0
Ryan Fleck,3,435891405.0,183700000.0,212.0,21.0
Geneva Robertson-Dworet,2,485080642.0,265000000.0,112.0,13.1
Justin Marks,3,736744507.0,252000000.0,171.0,18.5
Rudyard Kipling,2,728002246.0,202000000.0,154.0,14.8
Ronnie Del Carmen,1,356921711.0,175000000.0,94.0,8.1
Meg LeFauve,1,356921711.0,175000000.0,94.0,8.1
Jonathan Goldstein,7,800677718.0,541000000.0,379.0,46.2
John Francis Daley,6,746232361.0,501000000.0,339.0,39.9
Jon Watts,2,334335692.0,180000000.0,139.0,13.7
David Ayer,9,629816615.0,459000000.0,479.0,59.3
John Ostrander,1,325100054.0,175000000.0,40.0,5.9
Tom McCarthy,7,nan,269500000.0,532.0,51.7
Jason Katz,1,210460015.0,175000000.0,81.0,8.4
Phil Johnston,4,404250539.0,385000000.0,257.0,27.2
Pamela Ribon,2,246111993.0,235000000.0,111.0,13.0
Rich Moore,3,731782848.0,490000000.0,221.0,22.7
Maya Forbes,4,276552087.0,228000000.0,206.0,26.3
Wallace Wolodarsky,3,253769716.0,212000000.0,163.0,18.9
Rob Letterman,3,503388002.0,400000000.0,157.0,18.9
Brian Fee,1,152901115.0,175000000.0,59.0,6.7
Ben Queen,1,152901115.0,175000000.0,59.0,6.7
Eyal Podell,2,194568231.0,240000000.0,119.0,13.100000000000001
David Elliot,2,224695879.0,205000000.0,81.0,12.5
Paul Lovett,2,224695879.0,205000000.0,81.0,12.5
Jim Thomas,9,nan,606000000.0,446.0,56.39999999999999
John Thomas,6,380519055.0,413000000.0,276.0,37.6
S.S. Wilson,2,130471765.0,185000000.0,103.0,12.0
Miles Millar,4,275006587.0,330000000.0,202.0,24.1
John L. Balderston,4,nan,272500000.0,nan,28.299999999999997
Steve Koren,7,634223119.0,488500000.0,245.0,39.10000000000001
Mark O'Keefe,3,480647192.0,338500000.0,128.0,18.6
Steve Oedekerk,7,770531885.0,455000000.0,nan,42.70000000000001
